iter	Passed	Remaining
0	12	3784
1	24	3675
2	33	3321
3	43	3189
4	51	3040
5	60	2987
6	68	2848
7	77	2831
8	86	2812
9	96	2812
10	108	2854
11	118	2837
12	128	2839
13	138	2826
14	150	2857
15	159	2829
16	168	2804
17	176	2764
18	186	2754
19	195	2737
20	205	2729
21	216	2738
22	227	2736
23	238	2745
24	248	2735
25	259	2732
26	269	2728
27	280	2726
28	291	2722
29	301	2715
30	312	2715
31	324	2716
32	334	2706
33	345	2699
34	356	2696
35	365	2682
36	376	2675
37	386	2668
38	397	2661
39	407	2648
40	417	2636
41	426	2618
42	436	2610
43	446	2595
44	455	2583
45	467	2584
46	478	2578
47	489	2567
48	500	2565
49	511	2558
50	523	2555
51	535	2555
52	547	2553
53	558	2543
54	570	2540
55	581	2533
56	592	2525
57	603	2519
58	616	2518
59	627	2508
60	637	2499
61	649	2491
62	661	2487
63	672	2478
64	684	2473
65	695	2466
66	705	2455
67	717	2449
68	729	2442
69	741	2434
70	752	2426
71	762	2416
72	774	2408
73	785	2399
74	797	2393
75	810	2387
76	820	2377
77	833	2373
78	845	2365
79	856	2354
80	866	2343
81	876	2329
82	887	2320
83	897	2309
84	909	2299
85	920	2290
86	931	2279
87	942	2271
88	950	2253
89	961	2242
90	972	2232
91	982	2221
92	994	2213
93	1002	2197
94	1011	2181
95	1022	2172
96	1030	2155
97	1042	2148
98	1053	2139
99	1064	2128
100	1075	2118
101	1088	2112
102	1100	2104
103	1111	2095
104	1123	2087
105	1135	2078
106	1146	2068
107	1160	2063
108	1173	2055
109	1182	2041
110	1194	2033
111	1203	2019
112	1214	2009
113	1225	1999
114	1237	1990
115	1248	1979
116	1260	1971
117	1272	1962
118	1283	1952
119	1296	1944
120	1307	1934
121	1320	1926
122	1332	1917
123	1344	1908
124	1356	1899
125	1368	1890
126	1380	1880
127	1391	1869
128	1403	1861
129	1415	1850
130	1423	1836
131	1435	1826
132	1446	1816
133	1457	1805
134	1468	1794
135	1479	1783
136	1487	1770
137	1498	1759
138	1509	1748
139	1517	1734
140	1528	1724
141	1539	1713
142	1551	1703
143	1563	1693
144	1574	1682
145	1585	1672
146	1597	1662
147	1608	1652
148	1620	1641
149	1628	1628
150	1637	1615
151	1649	1606
152	1661	1596
153	1673	1586
154	1685	1577
155	1698	1567
156	1711	1558
157	1724	1549
158	1733	1536
159	1742	1524
160	1753	1513
161	1765	1503
162	1776	1493
163	1787	1482
164	1798	1471
165	1810	1461
166	1822	1451
167	1830	1438
168	1843	1429
169	1854	1418
170	1866	1407
171	1877	1397
172	1888	1386
173	1900	1376
174	1912	1366
175	1924	1355
176	1935	1344
177	1943	1332
178	1955	1321
179	1963	1308
180	1972	1296
181	1980	1283
182	1991	1273
183	2004	1263
184	2015	1252
185	2024	1240
186	2036	1230
187	2045	1218
188	2053	1205
189	2064	1195
190	2076	1185
191	2088	1174
192	2097	1162
193	2105	1150
194	2113	1137
195	2125	1127
196	2137	1117
197	2149	1107
198	2161	1096
199	2172	1086
200	2181	1074
201	2190	1062
202	2200	1051
203	2211	1040
204	2227	1032
205	2236	1020
206	2245	1008
207	2254	997
208	2264	985
209	2273	974
210	2284	963
211	2292	951
212	2303	941
213	2315	930
214	2325	919
215	2338	909
216	2347	897
217	2355	886
218	2367	875
219	2375	863
220	2388	853
221	2400	843
222	2412	833
223	2424	822
224	2435	811
225	2444	800
226	2452	788
227	2464	778
228	2472	766
229	2485	756
230	2496	745
231	2507	734
232	2516	723
233	2524	712
234	2536	701
235	2547	690
236	2555	679
237	2567	668
238	2575	657
239	2587	646
240	2598	636
241	2609	625
242	2618	614
243	2629	603
244	2638	592
245	2649	581
246	2661	570
247	2673	560
248	2682	549
249	2691	538
250	2699	526
251	2711	516
252	2722	505
253	2733	494
254	2745	484
255	2759	474
256	2772	463
257	2783	453
258	2793	442
259	2802	431
260	2810	419
261	2818	408
262	2831	398
263	2840	387
264	2851	376
265	2859	365
266	2868	354
267	2877	343
268	2888	332
269	2896	321
270	2904	310
271	2917	300
272	2925	289
273	2937	278
274	2948	268
275	2957	257
276	2968	246
277	2980	235
278	2993	225
279	3005	214
280	3016	203
281	3028	193
282	3036	182
283	3044	171
284	3054	160
285	3063	149
286	3075	139
287	3088	128
288	3099	117
289	3110	107
290	3120	96
291	3132	85
292	3140	75
293	3152	64
294	3164	53
295	3175	42
296	3186	32
297	3195	21
298	3204	10
299	3214	0
